id,salary_from,salary_to,target_prof
286961,0,0,повар
423834,0,0,повар
336464,0,0,повар
287634,0,0,повар
174883,0,0,повар
276796,0,0,повар
335785,0,0,повар
34570,0,0,повар
102086,0,0,повар
407434,0,0,повар
278711,0,0,повар
379144,0,0,повар
287682,0,0,повар
151742,0,0,повар
123310,0,0,повар
329507,0,0,повар
274805,0,0,повар
385866,0,0,повар
56390,0,0,повар
142700,0,0,повар
152979,0,0,повар
460028,0,0,повар
417813,0,0,повар
80578,0,0,повар
152126,0,0,повар
142326,0,0,повар
151566,0,0,повар
38784,0,0,повар
370761,0,0,повар
23861,0,0,повар
331544,0,0,повар
99336,0,0,повар
467077,0,0,повар
164682,0,0,повар
63342,0,0,повар
464608,0,0,повар
4895,0,0,повар
79493,0,0,повар
133527,0,0,повар
438004,0,0,повар
47485,0,0,повар
346294,0,0,повар
20765,0,0,повар
164655,0,0,повар
16337,0,0,повар
127279,0,0,повар
136530,0,0,повар
293031,0,0,повар
393329,0,0,повар
233961,0,0,повар
285168,0,0,повар
81226,0,0,повар
17382,0,0,повар
149865,0,0,повар
74793,0,0,повар
187312,0,0,повар
83250,0,0,повар
463213,0,0,повар
385771,0,0,повар
6586,0,0,повар
456158,0,0,повар
433411,0,0,повар
141159,0,0,повар
182741,0,0,повар
316670,0,0,повар
65587,0,0,повар
459824,0,0,повар
147321,0,0,повар
197153,0,0,повар
23925,0,0,повар
44599,0,0,повар
258291,0,0,повар
378587,0,0,повар
218725,0,0,повар
71891,0,0,повар
250354,0,0,повар
246575,0,0,повар
329365,0,0,повар
245801,0,0,повар
20558,0,0,повар
19895,0,0,повар
103075,0,0,повар
94676,0,0,повар
227753,0,0,повар
154561,0,0,повар
376273,0,0,повар
11199,0,0,повар
421613,0,0,повар
364125,0,0,повар
366352,0,0,повар
132720,0,0,повар
298136,0,0,повар
34152,0,0,повар
28519,0,0,повар
192484,0,0,повар
203695,0,0,повар
57840,0,0,повар
356774,0,0,повар
240998,0,0,повар
320034,0,0,повар
344996,0,0,повар
272469,0,0,повар
148578,0,0,повар
93798,0,0,повар
276962,0,0,повар
375677,0,0,повар
56255,0,0,повар
212686,0,0,повар
111031,0,0,повар
388446,0,0,повар
453949,0,0,повар
316990,0,0,повар
292120,0,0,повар
470077,0,0,повар
176914,0,0,повар
418438,0,0,повар
169605,0,0,повар
429982,0,0,повар
431194,0,0,повар
288214,0,0,повар
404784,0,0,повар
170424,0,0,повар
304393,0,0,повар
323993,0,0,повар
110701,0,0,повар
151578,0,0,повар
192300,0,0,повар
86776,0,0,повар
207115,0,0,повар
126150,0,0,повар
365413,0,0,повар
361120,0,0,повар
2424,0,0,повар
454219,0,0,повар
15887,0,0,повар
466707,0,0,повар
222126,0,0,повар
83647,0,0,повар
283042,0,0,повар
456664,0,0,повар
23897,0,0,повар
456251,0,0,повар
238447,0,0,повар
129227,0,0,повар
453521,0,0,повар
444272,0,0,повар
102120,0,0,повар
298910,0,0,повар
446867,0,0,повар
109436,0,0,повар
74664,0,0,повар
344066,0,0,повар
231523,0,0,повар
73517,0,0,повар
379128,0,0,повар
319050,0,0,повар
120528,0,0,повар
165511,0,0,повар
273383,0,0,повар
420158,0,0,повар
332899,0,0,повар
364351,0,0,повар
291973,0,0,повар
469751,0,0,повар
262497,0,0,повар
29045,0,0,повар
221223,0,0,повар
305386,0,0,повар
345556,0,0,повар
35088,0,0,повар
91945,0,0,повар
402686,0,0,повар
261070,0,0,повар
6825,0,0,повар
298167,0,0,повар
335711,0,0,повар
435764,0,0,повар
397488,0,0,повар
4774,0,0,повар
425197,0,0,повар
449717,0,0,повар
133501,0,0,повар
6117,0,0,повар
41356,0,0,повар
436746,0,0,повар
290296,0,0,повар
166190,0,0,повар
267061,0,0,повар
130943,0,0,повар
386960,0,0,повар
9045,0,0,повар
358704,0,0,повар
204747,0,0,повар
214309,0,0,повар
335415,0,0,повар
291084,0,0,повар
40429,0,0,повар
1559,0,0,повар
157403,0,0,повар
150484,0,0,повар
216920,0,0,повар
196040,0,0,повар
139214,0,0,повар
376089,0,0,повар
39685,0,0,повар
301209,0,0,повар
49399,0,0,повар
266590,0,0,повар
209828,0,0,повар
62253,0,0,повар
93498,0,0,повар
397018,0,0,повар
440974,0,0,повар
24341,0,0,повар
183327,0,0,повар
368439,0,0,повар
4455,0,0,повар
93525,0,0,повар
16268,0,0,повар
304517,0,0,повар
64166,0,0,повар
181989,0,0,повар
245758,0,0,повар
231473,0,0,повар
68000,0,0,повар
338824,0,0,повар
419135,0,0,повар
135809,0,0,повар
343316,0,0,повар
173272,0,0,повар
222539,0,0,повар
297001,0,0,повар
355482,0,0,повар
304119,0,0,повар
238770,0,0,повар
31868,0,0,повар
354872,0,0,повар
346158,0,0,повар
80859,0,0,повар
133924,0,0,повар
190472,0,0,повар
226427,0,0,повар
74221,0,0,повар
227494,0,0,повар
307976,0,0,повар
265039,0,0,повар
118411,0,0,повар
423003,0,0,повар
453531,0,0,повар
312806,0,0,повар
103528,0,0,повар
80621,0,0,повар
58253,0,0,повар
142379,0,0,повар
362507,0,0,повар
302135,0,0,повар
177226,0,0,повар
443999,0,0,повар
312142,0,0,повар
430367,0,0,повар
247276,0,0,повар
164269,0,0,повар
341641,0,0,повар
271872,0,0,повар
288482,0,0,повар
139997,0,0,повар
93581,0,0,повар
91928,0,0,повар
258734,0,0,повар
177174,0,0,повар
151387,0,0,повар
199143,0,0,повар
